Customer ID,SKU,Issue,Failure Component,Claim Date,Resolution,Repair Cost
CUST-85392,SKU-APP-MBA-M2,Screen Flicker / Dead Pixels,MagSafe 3 Connector,2023-03-07,Component Cleaned & Re-calibrated,376.19
CUST-92197,SKU-SON-WH1000-M5,Camera Sensor Artifacts,Dual Noise Canceling Chips,2023-11-26,Screen Assembly Swapped,26.54
CUST-52065,SKU-APP-MBA-M2,Drifting Analog Stick,Liquid Retina Panel,2023-07-25,Unit Replaced Under Warranty,104.11
CUST-40857,SKU-LG-OLED65-C3,Thermal Throttling / Overheating,Magical Remote Sensor,2023-05-04,Component Cleaned & Re-calibrated,190.64
CUST-27793,SKU-DYS-V15-DETECT,Thermal Throttling / Overheating,HEPA Filtration Cylinder,2023-12-08,Unit Replaced Under Warranty,42.34
CUST-26238,SKU-CAN-EOS-R6M2,Drifting Analog Stick,5-axis In-Body Stabilizer,2022-09-17,Unit Replaced Under Warranty,269.35
CUST-97091,SKU-APP-MBA-M2,Drifting Analog Stick,Liquid Retina Panel,2023-02-17,Screen Assembly Swapped,240.67
CUST-40245,SKU-CAN-EOS-R6M2,Noisy Motor / Bearing Friction,DIGIC X Image Processor Board,2023-01-13,Claim Rejected - User Damage,87.21
CUST-67736,SKU-CAN-EOS-R6M2,Thermal Throttling / Overheating,DIGIC X Image Processor Board,2023-08-16,Screen Assembly Swapped,137.5
CUST-84404,SKU-NIN-SWITCH-OLED,Wireless Connectivity Loss,Docking Station Mainboard,2022-01-09,Refurbished Board Soldered,71.8
CUST-52684,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,86Wh Battery Module,2023-10-26,Claim Rejected - User Damage,60.23
CUST-36717,SKU-NIN-SWITCH-OLED,Physical Port Corruption,4310mAh Battery,2022-03-22,Component Cleaned & Re-calibrated,52.06
CUST-37052,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,Liquid Retina Panel,2022-11-06,Screen Assembly Swapped,258.87
CUST-53309,SKU-DYS-V15-DETECT,Drifting Analog Stick,Laser Slim Fluffy Cleaner Head,2022-03-20,Claim Rejected - User Damage,31.94
CUST-70218,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,Joy-Con Rail Controls,2022-05-25,Component Cleaned & Re-calibrated,78.1
CUST-34654,SKU-SAM-GS23U-512,Water Seal Compromise,Dynamic AMOLED 2X Screen,2023-06-12,Refurbished Board Soldered,33.28
CUST-64749,SKU-LG-OLED65-C3,Camera Sensor Artifacts,Magical Remote Sensor,2023-10-22,Unit Replaced Under Warranty,181.09
CUST-63338,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,200MP Camera Sensor,2022-07-24,Screen Assembly Swapped,162.81
CUST-52534,SKU-BOS-WASH-SER8,Physical Port Corruption,Digital Touch Control Board,2023-06-18,Battery Replacement,146.92
CUST-85918,SKU-APP-IP14P-256,Water Seal Compromise,Titanium Frame,2022-08-22,Refurbished Board Soldered,228.56
CUST-29124,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,4K OLED Touch Display,2022-03-11,Battery Replacement,34.93
CUST-46491,SKU-NIN-SWITCH-OLED,Physical Port Corruption,Docking Station Mainboard,2023-09-30,Refurbished Board Soldered,36.38
CUST-19306,SKU-CAN-EOS-R6M2,Screen Flicker / Dead Pixels,DIGIC X Image Processor Board,2022-04-20,Battery Replacement,458.06
CUST-91585,SKU-BOS-WASH-SER8,Water Seal Compromise,Heavy Weight Ballast Block,2023-09-18,Unit Replaced Under Warranty,227.86
CUST-68759,SKU-APP-MBA-M2,Thermal Throttling / Overheating,Liquid Retina Panel,2023-08-24,Claim Rejected - User Damage,114.58
CUST-20166,SKU-DYS-V15-DETECT,Drifting Analog Stick,Laser Slim Fluffy Cleaner Head,2023-05-30,Refurbished Board Soldered,114.66
CUST-34727,SKU-APP-MBA-M2,Camera Sensor Artifacts,M2 SoC Logic Board,2023-05-27,Claim Rejected - User Damage,38.72
CUST-64006,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,86Wh Battery Module,2022-02-24,Unit Replaced Under Warranty,433.32
CUST-53820,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,NVIDIA RTX 4070 GPU,2022-11-06,Screen Assembly Swapped,553.43
CUST-26179,SKU-DYS-V15-DETECT,Wireless Connectivity Loss,HEPA Filtration Cylinder,2022-01-04,Screen Assembly Swapped,117.12
CUST-32232,SKU-SON-WH1000-M5,Noisy Motor / Bearing Friction,Soft Fit Leather Earpads,2023-09-30,Unit Replaced Under Warranty,54.08
CUST-20926,SKU-SAM-GS23U-512,Water Seal Compromise,Snapdragon 8 Gen 2 Board,2022-01-05,Refurbished Board Soldered,142.16
CUST-18134,SKU-NIN-SWITCH-OLED,Noisy Motor / Bearing Friction,Tegra X1 System Board,2022-10-10,Screen Assembly Swapped,47.71
CUST-96768,SKU-CAN-EOS-R6M2,Noisy Motor / Bearing Friction,5-axis In-Body Stabilizer,2023-12-03,Unit Replaced Under Warranty,50.24
CUST-20091,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,Titanium Frame,2023-08-08,Screen Assembly Swapped,163.2
CUST-54210,SKU-APP-IP14P-256,Water Seal Compromise,Titanium Frame,2022-04-21,Refurbished Board Soldered,127.88
CUST-10059,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Dynamic AMOLED 2X Screen,2022-03-29,Claim Rejected - User Damage,201.91
CUST-62344,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Snapdragon 8 Gen 2 Board,2022-04-20,Claim Rejected - User Damage,141.54
CUST-43173,SKU-APP-MBA-M2,Drifting Analog Stick,Magic Keyboard,2023-09-14,Battery Replacement,148.16
CUST-98357,SKU-APP-MBA-M2,Camera Sensor Artifacts,MagSafe 3 Connector,2022-05-05,Refurbished Board Soldered,94.99
CUST-54635,SKU-SON-WH1000-M5,Wireless Connectivity Loss,30-hour Battery,2022-01-13,Refurbished Board Soldered,30.76
CUST-51876,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,24.2MP CMOS Full-Frame Sensor,2023-12-15,Unit Replaced Under Warranty,411.34
CUST-58917,SKU-BOS-WASH-SER8,Physical Port Corruption,EcoSilence Drive Motor,2023-09-20,Claim Rejected - User Damage,47.45
CUST-33288,SKU-NIN-SWITCH-OLED,Thermal Throttling / Overheating,Docking Station Mainboard,2022-03-02,Component Cleaned & Re-calibrated,66.53
CUST-25223,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,Carbon Fiber Palmrest,2022-03-29,Screen Assembly Swapped,542.17
CUST-45433,SKU-APP-MBA-M2,Thermal Throttling / Overheating,52.6Wh Battery,2023-08-20,Component Cleaned & Re-calibrated,357.33
CUST-21021,SKU-BOS-WASH-SER8,Noisy Motor / Bearing Friction,EcoSilence Drive Motor,2022-10-19,Battery Replacement,26.55
CUST-85660,SKU-SON-WH1000-M5,Camera Sensor Artifacts,Integrated Microphone Array,2023-12-22,Claim Rejected - User Damage,41.27
CUST-64026,SKU-CAN-EOS-R6M2,Water Seal Compromise,DIGIC X Image Processor Board,2022-10-19,Battery Replacement,460.05
CUST-14001,SKU-DYS-V15-DETECT,Battery Drain / Rapid Discharge,Laser Slim Fluffy Cleaner Head,2022-06-16,Battery Replacement,107.9
CUST-76334,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,Magic Keyboard,2022-06-05,Battery Replacement,43.85
CUST-78232,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,4K OLED Touch Display,2023-05-31,Component Cleaned & Re-calibrated,351.07
CUST-81101,SKU-LG-OLED65-C3,Camera Sensor Artifacts,Power Supply Unit,2022-11-01,Component Cleaned & Re-calibrated,265.89
CUST-60539,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,S-Pen Digitizer,2022-05-08,Component Cleaned & Re-calibrated,84.1
CUST-45797,SKU-NIN-SWITCH-OLED,Water Seal Compromise,Joy-Con Rail Controls,2023-03-03,Battery Replacement,43.42
CUST-83367,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,24.2MP CMOS Full-Frame Sensor,2022-06-03,Screen Assembly Swapped,391.14
CUST-28008,SKU-APP-IP14P-256,Screen Flicker / Dead Pixels,Lithium-Ion Battery,2022-03-05,Screen Assembly Swapped,161.07
CUST-40909,SKU-SON-WH1000-M5,Camera Sensor Artifacts,30mm Driver Units,2023-07-01,Unit Replaced Under Warranty,56.47
CUST-29339,SKU-DEL-XPS15-9530,Drifting Analog Stick,NVIDIA RTX 4070 GPU,2022-01-13,Refurbished Board Soldered,486.81
CUST-92540,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,86Wh Battery Module,2023-05-04,Unit Replaced Under Warranty,554.36
CUST-43179,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Dual Noise Canceling Chips,2022-11-17,Screen Assembly Swapped,35.12
CUST-68744,SKU-SAM-GS23U-512,Drifting Analog Stick,Snapdragon 8 Gen 2 Board,2023-03-28,Unit Replaced Under Warranty,216.16
CUST-35939,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,4310mAh Battery,2022-05-18,Refurbished Board Soldered,61.53
CUST-65916,SKU-CAN-EOS-R6M2,Physical Port Corruption,Magnesium Alloy Frame,2023-12-25,Claim Rejected - User Damage,488.15
CUST-75432,SKU-LG-OLED65-C3,Noisy Motor / Bearing Friction,Power Supply Unit,2023-07-07,Battery Replacement,335.45
CUST-33393,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Tegra X1 System Board,2023-04-05,Battery Replacement,63.37
CUST-58545,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,Intel i9-13900H Board,2022-08-12,Screen Assembly Swapped,468.84
CUST-28958,SKU-APP-MBA-M2,Water Seal Compromise,M2 SoC Logic Board,2023-05-20,Claim Rejected - User Damage,377.78
CUST-55397,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,86Wh Battery Module,2022-10-11,Refurbished Board Soldered,141.11
CUST-87674,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,Intel i9-13900H Board,2023-11-14,Claim Rejected - User Damage,652.88
CUST-40662,SKU-SON-WH1000-M5,Thermal Throttling / Overheating,Integrated Microphone Array,2023-03-21,Unit Replaced Under Warranty,55.85
CUST-96188,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,Magnesium Alloy Frame,2022-07-09,Claim Rejected - User Damage,136.74
CUST-59981,SKU-APP-MBA-M2,Thermal Throttling / Overheating,MagSafe 3 Connector,2023-08-14,Component Cleaned & Re-calibrated,94.61
CUST-12797,SKU-SON-WH1000-M5,Physical Port Corruption,Dual Noise Canceling Chips,2023-10-29,Component Cleaned & Re-calibrated,42.49
CUST-56174,SKU-NIN-SWITCH-OLED,Noisy Motor / Bearing Friction,7-inch OLED Display,2023-10-29,Screen Assembly Swapped,76.71
CUST-85866,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Tegra X1 System Board,2023-09-21,Component Cleaned & Re-calibrated,60.52
CUST-87748,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,30mm Driver Units,2023-03-13,Claim Rejected - User Damage,52.95
CUST-71286,SKU-SAM-GS23U-512,Logic Board Power Failure,Dynamic AMOLED 2X Screen,2022-09-13,Refurbished Board Soldered,99.68
CUST-72847,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,A16 Bionic Logic Board,2023-11-03,Unit Replaced Under Warranty,25.87
CUST-96326,SKU-DYS-V15-DETECT,Drifting Analog Stick,Hyperdymium Motor,2022-11-01,Component Cleaned & Re-calibrated,82.2
CUST-69777,SKU-CAN-EOS-R6M2,Water Seal Compromise,Magnesium Alloy Frame,2022-07-22,Unit Replaced Under Warranty,423.16
CUST-19265,SKU-LG-OLED65-C3,Wireless Connectivity Loss,Magical Remote Sensor,2023-03-01,Claim Rejected - User Damage,80.48
CUST-90070,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Integrated Microphone Array,2023-08-16,Refurbished Board Soldered,39.69
CUST-32454,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,Carbon Fiber Palmrest,2023-01-03,Claim Rejected - User Damage,201.47
CUST-34763,SKU-SAM-GS23U-512,Water Seal Compromise,5000mAh Battery,2022-12-11,Refurbished Board Soldered,49.1
CUST-86262,SKU-APP-IP14P-256,Water Seal Compromise,A16 Bionic Logic Board,2022-12-26,Battery Replacement,102.36
CUST-23041,SKU-LG-OLED65-C3,Camera Sensor Artifacts,alpha9 AI Processor Gen6 Board,2023-12-22,Battery Replacement,434.26
CUST-98149,SKU-APP-IP14P-256,Wireless Connectivity Loss,Triple Camera Module,2022-11-13,Unit Replaced Under Warranty,115.11
CUST-11286,SKU-SON-WH1000-M5,Logic Board Power Failure,30-hour Battery,2022-12-31,Unit Replaced Under Warranty,55.1
CUST-28659,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,Hyperdymium Motor,2023-05-19,Battery Replacement,48.97
CUST-73814,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Snapdragon 8 Gen 2 Board,2023-03-06,Screen Assembly Swapped,232.02
CUST-98923,SKU-BOS-WASH-SER8,Battery Drain / Rapid Discharge,Digital Touch Control Board,2022-07-23,Claim Rejected - User Damage,225.56
CUST-67848,SKU-SAM-GS23U-512,Drifting Analog Stick,Snapdragon 8 Gen 2 Board,2022-05-24,Battery Replacement,148.31
CUST-56308,SKU-APP-MBA-M2,Water Seal Compromise,MagSafe 3 Connector,2023-08-07,Claim Rejected - User Damage,298.79
CUST-31132,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,86Wh Battery Module,2022-05-03,Screen Assembly Swapped,69.83
CUST-75279,SKU-NIN-SWITCH-OLED,Water Seal Compromise,Joy-Con Rail Controls,2022-09-08,Unit Replaced Under Warranty,69.69
CUST-36980,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,30mm Driver Units,2023-09-13,Refurbished Board Soldered,59.49
CUST-41553,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,30mm Driver Units,2023-05-31,Component Cleaned & Re-calibrated,41.51
CUST-13453,SKU-APP-IP14P-256,Camera Sensor Artifacts,Titanium Frame,2022-09-23,Component Cleaned & Re-calibrated,202.09
CUST-41910,SKU-APP-IP14P-256,Drifting Analog Stick,OLED Display Assembly,2023-06-06,Battery Replacement,235.71
CUST-15836,SKU-LG-OLED65-C3,Drifting Analog Stick,40W 2.2 Ch Speaker Array,2022-04-05,Refurbished Board Soldered,325.14
CUST-43138,SKU-SAM-GS23U-512,Drifting Analog Stick,Dynamic AMOLED 2X Screen,2022-11-08,Screen Assembly Swapped,43.12
CUST-44313,SKU-APP-IP14P-256,Screen Flicker / Dead Pixels,Triple Camera Module,2022-02-16,Unit Replaced Under Warranty,60.43
CUST-68407,SKU-LG-OLED65-C3,Wireless Connectivity Loss,65-inch Self-lit OLED Panel,2023-07-18,Claim Rejected - User Damage,233.47
CUST-72684,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,Dual Noise Canceling Chips,2023-08-05,Refurbished Board Soldered,49.87
CUST-50814,SKU-APP-IP14P-256,Thermal Throttling / Overheating,OLED Display Assembly,2022-10-14,Battery Replacement,74.37
CUST-27001,SKU-NIN-SWITCH-OLED,Logic Board Power Failure,Joy-Con Rail Controls,2022-07-29,Claim Rejected - User Damage,43.1
CUST-12727,SKU-APP-MBA-M2,Wireless Connectivity Loss,M2 SoC Logic Board,2022-03-09,Refurbished Board Soldered,342.84
CUST-24486,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,86Wh Battery Module,2022-01-13,Battery Replacement,424.42
CUST-69665,SKU-SON-WH1000-M5,Logic Board Power Failure,30mm Driver Units,2023-01-11,Refurbished Board Soldered,38.69
CUST-29233,SKU-CAN-EOS-R6M2,Thermal Throttling / Overheating,5-axis In-Body Stabilizer,2023-04-29,Battery Replacement,411.76
CUST-70850,SKU-SAM-GS23U-512,Water Seal Compromise,Snapdragon 8 Gen 2 Board,2023-03-10,Refurbished Board Soldered,205.45
CUST-88631,SKU-SAM-GS23U-512,Physical Port Corruption,Dynamic AMOLED 2X Screen,2022-03-20,Unit Replaced Under Warranty,194.87
CUST-69500,SKU-BOS-WASH-SER8,Drifting Analog Stick,Heavy Weight Ballast Block,2023-07-22,Unit Replaced Under Warranty,230.71
CUST-18331,SKU-NIN-SWITCH-OLED,Physical Port Corruption,4310mAh Battery,2023-03-25,Claim Rejected - User Damage,79.15
CUST-37929,SKU-SON-WH1000-M5,Physical Port Corruption,Integrated Microphone Array,2023-11-04,Unit Replaced Under Warranty,28.13
CUST-69830,SKU-CAN-EOS-R6M2,Screen Flicker / Dead Pixels,Magnesium Alloy Frame,2023-08-11,Component Cleaned & Re-calibrated,138.61
CUST-46033,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Dynamic AMOLED 2X Screen,2023-05-03,Component Cleaned & Re-calibrated,78.73
CUST-75705,SKU-DYS-V15-DETECT,Water Seal Compromise,Hyperdymium Motor,2022-11-23,Refurbished Board Soldered,59.5
CUST-39274,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,Magical Remote Sensor,2023-04-13,Claim Rejected - User Damage,391.94
CUST-85856,SKU-DEL-XPS15-9530,Drifting Analog Stick,Intel i9-13900H Board,2023-12-04,Component Cleaned & Re-calibrated,44.44
CUST-24017,SKU-LG-OLED65-C3,Battery Drain / Rapid Discharge,40W 2.2 Ch Speaker Array,2023-10-04,Screen Assembly Swapped,305.72
CUST-84544,SKU-DYS-V15-DETECT,Camera Sensor Artifacts,7-cell Click-in Battery,2022-12-06,Component Cleaned & Re-calibrated,87.6
CUST-28377,SKU-APP-MBA-M2,Camera Sensor Artifacts,MagSafe 3 Connector,2023-11-09,Screen Assembly Swapped,167.82
CUST-40872,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,A16 Bionic Logic Board,2023-09-08,Refurbished Board Soldered,75.29
CUST-42985,SKU-CAN-EOS-R6M2,Physical Port Corruption,DIGIC X Image Processor Board,2023-11-22,Battery Replacement,311.84
CUST-69780,SKU-APP-IP14P-256,Logic Board Power Failure,Titanium Frame,2022-11-18,Component Cleaned & Re-calibrated,247.88
CUST-19791,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,OLED Display Assembly,2023-04-25,Claim Rejected - User Damage,278.41
CUST-17231,SKU-DYS-V15-DETECT,Physical Port Corruption,Laser Slim Fluffy Cleaner Head,2023-11-04,Component Cleaned & Re-calibrated,53.19
CUST-98312,SKU-DYS-V15-DETECT,Camera Sensor Artifacts,HEPA Filtration Cylinder,2022-12-11,Claim Rejected - User Damage,101.33
CUST-77652,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,HEPA Filtration Cylinder,2023-04-06,Battery Replacement,101.64
CUST-78895,SKU-CAN-EOS-R6M2,Physical Port Corruption,EVF Display Module,2023-12-17,Unit Replaced Under Warranty,517.55
CUST-23874,SKU-BOS-WASH-SER8,Thermal Throttling / Overheating,Heavy Weight Ballast Block,2022-05-19,Claim Rejected - User Damage,246.31
CUST-46337,SKU-APP-IP14P-256,Physical Port Corruption,Lithium-Ion Battery,2023-11-27,Screen Assembly Swapped,200.18
CUST-32778,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,Triple Camera Module,2022-03-11,Unit Replaced Under Warranty,284.62
CUST-74458,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,86Wh Battery Module,2023-03-31,Claim Rejected - User Damage,258.08
CUST-50714,SKU-BOS-WASH-SER8,Noisy Motor / Bearing Friction,EcoSilence Drive Motor,2022-01-24,Battery Replacement,241.23
CUST-43700,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,Digital Touch Control Board,2022-03-25,Unit Replaced Under Warranty,143.45
CUST-75216,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,NVIDIA RTX 4070 GPU,2022-10-27,Screen Assembly Swapped,215.89
CUST-25070,SKU-APP-IP14P-256,Water Seal Compromise,A16 Bionic Logic Board,2023-03-01,Component Cleaned & Re-calibrated,148.61
CUST-40268,SKU-APP-IP14P-256,Drifting Analog Stick,Lithium-Ion Battery,2023-04-23,Unit Replaced Under Warranty,229.77
CUST-96456,SKU-SON-WH1000-M5,Camera Sensor Artifacts,Dual Noise Canceling Chips,2022-02-18,Unit Replaced Under Warranty,53.41
CUST-59310,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,NVIDIA RTX 4070 GPU,2022-09-08,Unit Replaced Under Warranty,110.47
CUST-43602,SKU-LG-OLED65-C3,Water Seal Compromise,Magical Remote Sensor,2023-05-10,Component Cleaned & Re-calibrated,316.17
CUST-39829,SKU-CAN-EOS-R6M2,Logic Board Power Failure,24.2MP CMOS Full-Frame Sensor,2022-02-28,Claim Rejected - User Damage,157.74
CUST-75563,SKU-BOS-WASH-SER8,Physical Port Corruption,EcoSilence Drive Motor,2023-10-02,Unit Replaced Under Warranty,160.02
CUST-31082,SKU-CAN-EOS-R6M2,Thermal Throttling / Overheating,Magnesium Alloy Frame,2023-02-18,Refurbished Board Soldered,453.31
CUST-99140,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,86Wh Battery Module,2023-06-25,Refurbished Board Soldered,101.97
CUST-47802,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,30mm Driver Units,2023-03-13,Component Cleaned & Re-calibrated,56.48
CUST-59670,SKU-SON-WH1000-M5,Logic Board Power Failure,Dual Noise Canceling Chips,2022-09-28,Battery Replacement,62.82
CUST-87945,SKU-DYS-V15-DETECT,Drifting Analog Stick,Hyperdymium Motor,2022-06-20,Battery Replacement,71.84
CUST-70331,SKU-APP-MBA-M2,Battery Drain / Rapid Discharge,Magic Keyboard,2022-09-09,Battery Replacement,124.0
CUST-71472,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,NVIDIA RTX 4070 GPU,2023-01-26,Refurbished Board Soldered,536.85
CUST-21981,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,Intel i9-13900H Board,2023-01-25,Screen Assembly Swapped,112.68
CUST-93491,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,Snapdragon 8 Gen 2 Board,2022-12-11,Battery Replacement,86.62
CUST-59699,SKU-APP-MBA-M2,Water Seal Compromise,M2 SoC Logic Board,2023-10-18,Battery Replacement,75.19
CUST-36725,SKU-APP-IP14P-256,Screen Flicker / Dead Pixels,Titanium Frame,2023-02-16,Screen Assembly Swapped,195.85
CUST-98460,SKU-APP-IP14P-256,Camera Sensor Artifacts,Lithium-Ion Battery,2022-06-30,Screen Assembly Swapped,44.83
CUST-67375,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,4K OLED Touch Display,2023-03-11,Claim Rejected - User Damage,522.95
CUST-51413,SKU-SON-WH1000-M5,Logic Board Power Failure,Soft Fit Leather Earpads,2022-09-29,Component Cleaned & Re-calibrated,52.46
CUST-50982,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,65-inch Self-lit OLED Panel,2022-04-22,Unit Replaced Under Warranty,451.75
CUST-64144,SKU-CAN-EOS-R6M2,Water Seal Compromise,Magnesium Alloy Frame,2022-10-04,Refurbished Board Soldered,398.89
CUST-51514,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,MagSafe 3 Connector,2022-11-19,Refurbished Board Soldered,101.52
CUST-91902,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,VarioDrum Stainless Tub,2022-05-11,Component Cleaned & Re-calibrated,188.4
CUST-86091,SKU-DYS-V15-DETECT,Drifting Analog Stick,Hyperdymium Motor,2022-10-04,Battery Replacement,111.0
CUST-82765,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,Intel i9-13900H Board,2022-05-17,Screen Assembly Swapped,148.73
CUST-37034,SKU-DYS-V15-DETECT,Logic Board Power Failure,Cyclonic Dust Bin,2023-06-08,Refurbished Board Soldered,30.65
CUST-74990,SKU-DYS-V15-DETECT,Drifting Analog Stick,Laser Slim Fluffy Cleaner Head,2022-01-31,Component Cleaned & Re-calibrated,58.94
CUST-86796,SKU-DYS-V15-DETECT,Physical Port Corruption,Hyperdymium Motor,2023-11-13,Claim Rejected - User Damage,76.36
CUST-56940,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,Tegra X1 System Board,2022-10-29,Refurbished Board Soldered,78.81
CUST-47391,SKU-SAM-GS23U-512,Physical Port Corruption,5000mAh Battery,2023-05-16,Unit Replaced Under Warranty,140.3
CUST-50123,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,Carbon Fiber Palmrest,2023-08-25,Refurbished Board Soldered,180.75
CUST-84488,SKU-LG-OLED65-C3,Battery Drain / Rapid Discharge,40W 2.2 Ch Speaker Array,2023-03-22,Battery Replacement,28.86
CUST-26502,SKU-BOS-WASH-SER8,Thermal Throttling / Overheating,Heavy Weight Ballast Block,2022-11-01,Unit Replaced Under Warranty,149.02
CUST-39867,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,Joy-Con Rail Controls,2023-05-24,Screen Assembly Swapped,52.3
CUST-23195,SKU-BOS-WASH-SER8,Noisy Motor / Bearing Friction,AquaStop Safety Valve,2023-01-24,Claim Rejected - User Damage,29.7
CUST-57246,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,Dynamic AMOLED 2X Screen,2022-01-25,Refurbished Board Soldered,136.8
CUST-66903,SKU-DEL-XPS15-9530,Logic Board Power Failure,4K OLED Touch Display,2023-03-22,Component Cleaned & Re-calibrated,52.64
CUST-43144,SKU-APP-IP14P-256,Water Seal Compromise,Triple Camera Module,2022-05-25,Screen Assembly Swapped,246.55
CUST-27835,SKU-NIN-SWITCH-OLED,Physical Port Corruption,7-inch OLED Display,2022-05-27,Component Cleaned & Re-calibrated,48.43
CUST-61674,SKU-DYS-V15-DETECT,Physical Port Corruption,Hyperdymium Motor,2022-07-26,Refurbished Board Soldered,37.56
CUST-40295,SKU-APP-IP14P-256,Thermal Throttling / Overheating,OLED Display Assembly,2022-03-02,Refurbished Board Soldered,195.71
CUST-79620,SKU-CAN-EOS-R6M2,Logic Board Power Failure,5-axis In-Body Stabilizer,2023-10-12,Claim Rejected - User Damage,329.12
CUST-30354,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,4K OLED Touch Display,2023-07-25,Unit Replaced Under Warranty,388.99
CUST-84699,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,30-hour Battery,2023-08-29,Unit Replaced Under Warranty,62.32
CUST-56444,SKU-LG-OLED65-C3,Camera Sensor Artifacts,40W 2.2 Ch Speaker Array,2023-09-12,Refurbished Board Soldered,334.5
CUST-32714,SKU-CAN-EOS-R6M2,Physical Port Corruption,5-axis In-Body Stabilizer,2023-06-04,Claim Rejected - User Damage,470.81
CUST-99267,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Tegra X1 System Board,2023-12-28,Unit Replaced Under Warranty,76.57
CUST-29014,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,S-Pen Digitizer,2022-08-23,Component Cleaned & Re-calibrated,56.72
CUST-61660,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,Intel i9-13900H Board,2023-09-07,Screen Assembly Swapped,637.77
CUST-45471,SKU-SAM-GS23U-512,Wireless Connectivity Loss,S-Pen Digitizer,2023-04-18,Battery Replacement,122.67
CUST-58048,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,A16 Bionic Logic Board,2023-02-03,Refurbished Board Soldered,113.46
CUST-20414,SKU-APP-MBA-M2,Thermal Throttling / Overheating,M2 SoC Logic Board,2023-01-22,Component Cleaned & Re-calibrated,109.46
CUST-27204,SKU-APP-MBA-M2,Camera Sensor Artifacts,M2 SoC Logic Board,2022-05-20,Battery Replacement,283.18
